input_path,output_path,status,original_sample_rate,original_channels,original_frames,output_sample_rate,output_channels,output_frames,original_duration_seconds,output_duration_seconds,error
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1218.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1218.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1219.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1219.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1220.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1220.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1221.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1221.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1222.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1222.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1223.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1223.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1224.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1224.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1225.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1225.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1226.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1226.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1227.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1227.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1228.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1228.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1229.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1229.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1230.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1230.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1231.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1231.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1232.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1232.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1233.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1233.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1234.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1234.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1235.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1235.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1236.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1236.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1237.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1237.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1238.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1238.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1239.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1239.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1240.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1240.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1241.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1241.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1242.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1242.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1243.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1243.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1244.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1244.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1245.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1245.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1246.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1246.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1247.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1247.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1248.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1248.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1249.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1249.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1250.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1250.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1251.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1251.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
